o,aberowl_url
adalab,
apollo-sv,
aura,
biomo,
birnlex,
bro,
chear,
cseo,
dmto,
ego,
envo,
gamuts,
gene-cds,
gro,
hino,
hord,
idobru,
jerm,
ktao,
lifo,
loinc,
mi,
mo,
npho,http://aber-owl.net/media/ontologies/NPHO/1/npho.owl
omim,
ons,
orth,
phare,
phenomenet,http://aber-owl.net/media/ontologies/PhenomeNET/1/phenomenet.owl
rctv2,
scto,
snmi,
syn,
vdot,
adar,
asdpto,
bao,
bcgo,
bdo,
ccont,
cmpo,
crisp,
ddo,
diab,
doid,
edam,
efo,
ero,
eupath,
exo,
fbcv,
flopo,
fma,
fypo,
genepio,
geno,
gexo,
gfvo,
hl7,
hp,
mesh,
mfomd,
mmo,
mp,
mpo,
nbo,
ncit,
obi,
obib,
ogms,
ohd,
ohmi,
omit,
ontoad,
ordo,
pdro,
pgxo,
reto,
rpo,
sbo,
scdo,
sdo,
sio,
sopharm,
stato,
swo,